"Company","Domain","Rank","Primary Website","Primary Domain","Number of Employees","Change in 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/22 ($m)","MX Lookup Result"
"Walmart","walmartlabs.com","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['10 mxa-000c7201.gslb.pphosted.com.', '10 mxb-000c7201.gslb.pphosted.com.']"
"Walmart","walmart.com.pe","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['10 custmx.cscdns.net.']"
"Walmart","walmart.com.mx","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['100 mxa-000c7201.gslb.pphosted.com.', '100 mxb-000c7201.gslb.pphosted.com.']"
"Walmart","walmart.com.do","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['10 custmx.cscdns.net.']"
"Walmart","walmart.com.br","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['5 mx1.walmart.com.br.', '1 mx2.walmart.com.br.']"
"Walmart","walmart.com.ar","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['2 mx3.walmart.com.ar.', '1 mx2.walmart.com.ar.', '0 mx1.walmart.com.ar.']"
"Walmart","walmart.com","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['10 mxb-000c7201.gslb.pphosted.com.', '10 mxa-000c7201.gslb.pphosted.com.']"
"Walmart","wal-mart.com","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['100 mxa-000c7201.gslb.pphosted.com.', '100 mxb-000c7201.gslb.pphosted.com.']"
"Walmart","email.wal-mart.com","1","https://www.walmart.com/","walmart.com","2300000","0","572754","0.024","13673","0.012","244860","409795","['100 mxb-000c7201.gslb.pphosted.com.', '100 mxa-000c7201.gslb.pphosted.com.']"
"Amazon","amazon.sa","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.nl","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.it","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.in","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.fr","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.de","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.tr","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['0 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.mx","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.co","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.br","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.au","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com.ar","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.com","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['5 amazon-smtp.amazon.com.']"
"Amazon","amazon.co.uk","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.co.jp","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.cn","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.cl","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.ca","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Amazon","amazon.ae","2","https://www.amazon.com/","amazon.com","1608000","0","469822","0.217","33364","0.564","420549","1658807","['10 amazon-smtp.amazon.com.']"
"Apple","itunes.com","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['20 mx-in-crk.apple.com.', '20 mx-in-rno.apple.com.', '20 mx-in-mdn.apple.com.', '10 mx-in.g.apple.com.']"
"Apple","icloud.com","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mx02.mail.icloud.com.', '10 mx01.mail.icloud.com.']"
"Apple","appleinsider.com","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['5 alt2.aspmx.l.google.com.', '10 alt3.aspmx.l.google.com.', '10 alt4.aspmx.l.google.com.', '1 aspmx.l.google.com.', '5 alt1.aspmx.l.google.com.']"
"Apple","apple.com.tw","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.tw.']"
"Apple","apple.com.pr","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.pr.']"
"Apple","apple.com.pe","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.pe.']"
"Apple","apple.com.mx","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.mx.']"
"Apple","apple.com.in","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['5 mail.h-email.net.']"
"Apple","apple.com.co","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.co.']"
"Apple","apple.com.br","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.com.br.']"
"Apple","apple.com.au","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['20 mx-in-rno.apple.com.', '20 mx-in-crk.apple.com.', '10 mx-in.g.apple.com.', '20 mx-in-mdn.apple.com.']"
"Apple","apple.com","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['20 mx-in-crk.apple.com.', '20 mx-in-mdn.apple.com.', '20 mx-in-rno.apple.com.', '10 mx-in.g.apple.com.']"
"Apple","apple.co.jp","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mx-in.g.apple.com.', '20 mx-in-mdn.apple.com.', '20 mx-in-rno.apple.com.', '20 mx-in-crk.apple.com.']"
"Apple","apple.ca","3","https://www.apple.com/","apple.com","154000","0","365817","0.333","94680","0.649","351002","2849538","['10 mail.apple.ca.']"
"CVS Health","umr.com","4","https://www.cvshealth.com/","cvshealth.com","258000","0","292111","0.087","7910","0.102","232999","132839","['10 mail10.corpmailsvcs.com.', '10 mail1.corpmailsvcs.com.', '10 mail17.corpmailsvcs.com.', '10 mail27.corpmailsvcs.com.', '10 mail33.corpmailsvcs.com.', '10 mail30.corpmailsvcs.com.', '10 mail131.corpmailsvcs.com.', '10 mail128.corpmailsvcs.com.', '10 mail50.corpmailsvcs.com.', '10 mail51.corpmailsvcs.com.', '10 mail134.corpmailsvcs.com.', '10 mail36.corpmailsvcs.com.', '10 mail21.corpmailsvcs.com.', '10 mail20.corpmailsvcs.com.', '10 mail2.corpmailsvcs.com.', '10 mail11.corpmailsvcs.com.']"
"CVS Health","silverScript.com","4","https://www.cvshealth.com/","cvshealth.com","258000","0","292111","0.087","7910","0.102","232999","132839","['10 us-smtp-inbound-2.mimecast.com.', '10 us-smtp-inbound-1.mimecast.com.']"
"CVS Health","cvshealth.com","4","https://www.cvshealth.com/","cvshealth.com","258000","0","292111","0.087","7910","0.102","232999","132839","['10 us-smtp-inbound-2.mimecast.com.', '10 us-smtp-inbound-1.mimecast.com.']"
"CVS Health","caremark.com","4","https://www.cvshealth.com/","cvshealth.com","258000","0","292111","0.087","7910","0.102","232999","132839","['10 us-smtp-inbound-2.mimecast.com.', '10 us-smtp-inbound-1.mimecast.com.']"
"UnitedHealth Group","unitedhealthgroup.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 mail33.corpmailsvcs.com.', '10 mail30.corpmailsvcs.com.', '10 mail27.corpmailsvcs.com.', '10 mail17.corpmailsvcs.com.', '10 mail131.corpmailsvcs.com.', '10 mail128.corpmailsvcs.com.', '10 mail21.corpmailsvcs.com.', '10 mail20.corpmailsvcs.com.', '10 mail11.corpmailsvcs.com.', '10 mail10.corpmailsvcs.com.', '10 mail2.corpmailsvcs.com.', '10 mail1.corpmailsvcs.com.', '10 mail36.corpmailsvcs.com.', '10 mail134.corpmailsvcs.com.', '10 mail51.corpmailsvcs.com.', '10 mail50.corpmailsvcs.com.']"
"UnitedHealth Group","uhg.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 mail27.corpmailsvcs.com.', '10 mail128.corpmailsvcs.com.', '10 mail30.corpmailsvcs.com.', '10 mail50.corpmailsvcs.com.', '10 mail51.corpmailsvcs.com.', '10 mail33.corpmailsvcs.com.', '10 mail131.corpmailsvcs.com.', '10 mail134.corpmailsvcs.com.', '10 mail36.corpmailsvcs.com.', '10 mail21.corpmailsvcs.com.', '10 mail20.corpmailsvcs.com.', '10 mail1.corpmailsvcs.com.', '10 mail11.corpmailsvcs.com.', '10 mail2.corpmailsvcs.com.', '10 mail10.corpmailsvcs.com.', '10 mail17.corpmailsvcs.com.']"
"UnitedHealth Group","uhc.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 mail20.corpmailsvcs.com.', '10 mail21.corpmailsvcs.com.', '10 mail11.corpmailsvcs.com.', '10 mail10.corpmailsvcs.com.', '10 mail2.corpmailsvcs.com.', '10 mail1.corpmailsvcs.com.', '10 mail27.corpmailsvcs.com.', '10 mail17.corpmailsvcs.com.', '10 mail128.corpmailsvcs.com.', '10 mail30.corpmailsvcs.com.', '10 mail33.corpmailsvcs.com.', '10 mail131.corpmailsvcs.com.', '10 mail50.corpmailsvcs.com.', '10 mail51.corpmailsvcs.com.', '10 mail134.corpmailsvcs.com.', '10 mail36.corpmailsvcs.com.']"
"UnitedHealth Group","optumventures.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 us-smtp-inbound-2.mimecast.com.', '10 us-smtp-inbound-1.mimecast.com.']"
"UnitedHealth Group","optumrx.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 mail2.corpmailsvcs.com.', '10 mail11.corpmailsvcs.com.', '10 mail10.corpmailsvcs.com.', '10 mail1.corpmailsvcs.com.']"
"UnitedHealth Group","optumlabs.com","5","https://www.unitedhealthgroup.com/","unitedhealthgroup.com","350000","0","287597","0.118","17285","0.122","212206","479830","['10 mail2.optumlabs.com.', '10 mail1.optumlabs.com.']"
